Zone_ID,HID_No,Bay_Zone,Sub_Region,Full_Name,Territory,Type,IN_Count,OUT_Count,IN_Lanes,OUT_Lanes,Vehicle_Max,Vehicle_Precaution,Project,ZCU,HID_Type,HID_ID,Zone_ID2,Addr_No,Station_No
15,HID-OHT-015,B02,1,HID-B02-1(015),1,HID,4,4,3767→3768; 3878→3879; 6081→3780; 7741→3822,3813→3753; 3820→7745; 3846→3863; 3854→6085,37,35,M14 Project Ph-1,ZC542A,HID4,,,,
16,HID-OHT-016,B02,2,HID-B02-2(016),1,HID,5,4,3846→3863; 3955→3899; 5613→3859; 6087→3855; 8520→3891,3878→3879; 3888→7739; 3918→3936; 3927→6091,37,35,M14 Project Ph-1,ZC552A,HID4,,,,
17,HID-OHT-017,B02,1,HID-B02-1(017),1,HID,4,4,3918→3936; 4029→3973; 6096→3928; 8511→3965,3955→3899; 3962→8515; 3992→4010; 4001→6100,37,35,M14 Project Ph-1,ZC555A,HID4,,,,
18,HID-OHT-018,B02,2,HID-B02-2(018),1,HID,4,4,3992→4010; 4105→4047; 6105→4002; 8502→4039,4029→3973; 4036→8506; 4066→4086; 4075→6109,37,35,M14 Project Ph-1,ZC558A,HID4,,,,
19,HID-OHT-019,B02,1,HID-B02-1(019),1,HID,4,4,4066→4086; 4152→4123; 4172→4077; 6114→4076,4105→4047; 4121→4154; 4135→8497; 4137→4139,37,35,M14 Project Ph-1,ZC561A,HID4,,,,
20,HID-OHT-020,B03,2,HID-B03-2(020),1,HID,4,4,4121→4154; 4137→4139; 4200→4146; 8493→4138,4152→4123; 4160→4161; 4172→4077; 4173→6118,37,35,M14 Project Ph-1,ZC564A,HID4,4AFZ15-001,20,4137,14915
20,HID-OHT-020,B03,2,HID-B03-2(020),1,HID,4,4,4121→4154; 4137→4139; 4200→4146; 8493→4138,4152→4123; 4160→4161; 4172→4077; 4173→6118,37,35,M14 Project Ph-1,ZC564A,HID4,4AFZ15-101,20,4077,35015
20,HID-OHT-020,B03,2,HID-B03-2(020),1,HID,4,4,4121→4154; 4137→4139; 4200→4146; 8493→4138,4152→4123; 4160→4161; 4172→4077; 4173→6118,37,35,M14 Project Ph-1,ZC564A,HID4,4AFZ15-301,20,4154,17197
20,HID-OHT-020,B03,2,HID-B03-2(020),1,HID,4,4,4121→4154; 4137→4139; 4200→4146; 8493→4138,4152→4123; 4160→4161; 4172→4077; 4173→6118,37,35,M14 Project Ph-1,ZC564A,HID4,4ANZ15-301,20,4139,17162
20,HID-OHT-020,B03,2,HID-B03-2(020),1,HID,4,4,4121→4154; 4137→4139; 4200→4146; 8493→4138,4152→4123; 4160→4161; 4172→4077; 4173→6118,37,35,M14 Project Ph-1,ZC564A,HID4,4CWS1501_1,20,4152,3874
20,HID-OHT-020,B03,2,HID-B03-2(020),1,HID,4,4,4121→4154; 4137→4139; 4200→4146; 8493→4138,4152→4123; 4160→4161; 4172→4077; 4173→6118,37,35,M14 Project Ph-1,ZC564A,HID4,4CWS1501_2,20,4152,3873
20,HID-OHT-020,B03,2,HID-B03-2(020),1,HID,4,4,4121→4154; 4137→4139; 4200→4146; 8493→4138,4152→4123; 4160→4161; 4172→4077; 4173→6118,37,35,M14 Project Ph-1,ZC564A,HID4,4CWS1501_3,20,4152,3872
20,HID-OHT-020,B03,2,HID-B03-2(020),1,HID,4,4,4121→4154; 4137→4139; 4200→4146; 8493→4138,4152→4123; 4160→4161; 4172→4077; 4173→6118,37,35,M14 Project Ph-1,ZC564A,HID4,4CWS1501_4,20,4152,3871
20,HID-OHT-020,B03,2,HID-B03-2(020),1,HID,4,4,4121→4154; 4137→4139; 4200→4146; 8493→4138,4152→4123; 4160→4161; 4172→4077; 4173→6118,37,35,M14 Project Ph-1,ZC564A,HID4,4TSR1501_3,20,4154,3876
20,HID-OHT-020,B03,2,HID-B03-2(020),1,HID,4,4,4121→4154; 4137→4139; 4200→4146; 8493→4138,4152→4123; 4160→4161; 4172→4077; 4173→6118,37,35,M14 Project Ph-1,ZC564A,HID4,4TSR1501_4,20,4154,3875
21,HID-OHT-021,B03,1,HID-B03-1(021),1,HID,4,5,4160→4161; 4267→4268; 6123→4174; 8484→4209,4200→4146; 4207→8488; 4234→4253; 4237→5616; 4242→6127,37,35,M14 Project Ph-1,ZC562A,HID4,,,,
22,HID-OHT-022,B03,2,HID-B03-2(022),1,HID,5,5,4234→4253; 4293→4265; 4293→4294; 4336→4244; 6132→4243,4267→4268; 4288→4289; 4288→4320; 4302→8479; 4303→4305,37,35,M14 Project Ph-1,ZC571A,HID4,,,,
23,HID-OHT-023,B03,1,HID-B03-1(023),1,HID,5,5,4288→4289; 4288→4320; 4303→4305; 4366→4312; 8475→4304,4293→4265; 4293→4294; 4326→4327; 4336→4244; 4337→6136,37,35,M14 Project Ph-1,ZC574A,HID4,4AFZ17-001,23,4303,14917
