_time,VEHICLE,HID
2026-04-21 14:02:23.245+0900,BV0332,11082
2026-04-21 14:02:23.457+0900,BV0218,33
2026-04-21 14:02:23.458+0900,BV0173,3
2026-04-21 14:02:23.458+0900,BV0173,10641
2026-04-21 14:02:23.458+0900,BV0321,11082
2026-04-21 14:02:23.896+0900,BV0332,11082
2026-04-21 14:02:24.402+0900,BV0100,10631
2026-04-21 14:02:24.413+0900,BV0368,10711
2026-04-21 14:02:24.872+0900,BV0127,11041
2026-04-21 14:02:24.874+0900,BV0132,11101
2026-04-21 14:02:24.903+0900,BV0123,10711
2026-04-21 14:02:25.290+0900,BV0321,11082
2026-04-21 14:02:25.503+0900,BV0387,34
2026-04-21 14:02:25.509+0900,BV0089,33
2026-04-21 14:02:25.848+0900,BV0173,3
2026-04-21 14:02:25.848+0900,BV0173,10641
2026-04-21 14:02:25.879+0900,BV0332,11082
2026-04-21 14:02:25.916+0900,BV0117,10781
2026-04-21 14:02:25.921+0900,BV0218,33
2026-04-21 14:02:26.677+0900,BV0242,10611
2026-04-21 14:02:26.677+0900,BV0242,3
2026-04-21 14:02:26.755+0900,BV0098,11111
2026-04-21 14:02:26.805+0900,BV0200,33
2026-04-21 14:02:27.147+0900,BV0062,33
2026-04-21 14:02:27.149+0900,BV0332,11082
2026-04-21 14:02:27.232+0900,BV0089,33
2026-04-21 14:02:28.030+0900,BV0343,10641
2026-04-21 14:02:28.057+0900,BV0387,34
2026-04-21 14:02:29.048+0900,BV0332,11082
2026-04-21 14:02:29.356+0900,BV0234,10811
2026-04-21 14:02:29.500+0900,BV0332,11082
2026-04-21 14:02:29.956+0900,BV0324,11111
2026-04-21 14:02:30.477+0900,BV0346,33
2026-04-21 14:02:30.481+0900,BV0062,33
2026-04-21 14:02:30.500+0900,BV0200,33
2026-04-21 14:02:31.208+0900,BV0332,11082
2026-04-21 14:02:31.215+0900,BV0372,11041
